"date","value"
2021-01-28 10:26:03,2640
2021-01-28 10:25:52,2580
2021-01-28 10:22:04,2580
2021-01-28 10:21:54,2520
2021-01-28 10:21:02,2520
2021-01-28 10:16:00,2520
2021-01-28 10:15:50,2460
2021-01-28 10:14:06,2460
2021-01-28 10:13:56,2400
2021-01-28 10:12:02,2400
2021-01-28 10:11:51,2340
2021-01-28 10:10:07,2340
2021-01-28 10:09:57,2280
2021-01-28 10:08:13,2280
2021-01-28 10:05:01,2160
2021-01-28 10:04:09,2160
2021-01-28 10:03:59,2100
2021-01-28 10:00:10,2100
2021-01-28 10:00:00,1980
2021-01-28 09:59:08,1980
2021-01-28 09:54:06,1980
2021-01-28 09:53:56,2040
2021-01-28 09:51:10,2040
2021-01-28 09:46:08,2040
2021-01-28 09:45:58,2100
2021-01-28 09:44:03,2100
2021-01-28 09:43:53,2040
2021-01-28 09:40:04,2040
2021-01-28 09:39:54,2100
2021-01-28 09:38:10,2100
2021-01-28 09:37:59,2160
2021-01-28 09:36:05,2160
2021-01-28 09:35:55,2100
2021-01-28 09:32:06,2100
2021-01-28 09:31:56,2220
2021-01-28 09:28:07,2220
2021-01-28 09:27:57,2160
2021-01-28 09:26:03,2160
2021-01-28 09:25:52,2220
2021-01-28 09:24:08,2220
2021-01-28 09:23:58,2280
2021-01-28 09:22:03,2280
2021-01-28 09:21:53,2220
2021-01-28 09:18:05,2220
2021-01-28 09:17:54,2280
2021-01-28 09:16:10,2280
2021-01-28 09:16:00,2220
2021-01-28 09:14:05,2220
2021-01-28 09:13:55,2160
2021-01-28 09:13:13,2160
2021-01-28 09:08:09,2160
2021-01-28 09:07:59,2100
2021-01-28 09:04:10,2100
2021-01-28 09:04:00,2220
2021-01-28 09:02:05,2220
2021-01-28 09:01:55,2160
2021-01-28 08:58:06,2160
2021-01-28 08:57:56,2220
2021-01-28 08:54:07,2220
2021-01-28 08:53:57,2280
2021-01-28 08:51:10,2280
2021-01-28 08:46:09,2280
2021-01-28 08:45:59,2220
2021-01-28 08:44:04,2220
2021-01-28 08:43:54,2100
2021-01-28 08:42:10,2100
2021-01-28 08:41:59,2160
2021-01-28 08:38:11,2160
2021-01-28 08:38:00,2100
2021-01-28 08:36:06,2100
2021-01-28 08:35:56,2160
2021-01-28 08:34:01,2160
2021-01-28 08:33:51,2280
2021-01-28 08:33:09,2280
2021-01-28 08:28:09,2280
2021-01-28 08:27:58,2340
2021-01-28 08:26:04,2340
2021-01-28 08:25:53,2400
2021-01-28 08:24:09,2400
2021-01-28 08:23:59,2340
2021-01-28 08:20:10,2340
2021-01-28 08:20:00,2400
2021-01-28 08:19:08,2400
2021-01-28 08:14:06,2400
2021-01-28 08:13:56,2340
2021-01-28 08:10:07,2340
2021-01-28 08:09:56,2460
2021-01-28 08:06:08,2460
2021-01-28 08:05:57,2520
2021-01-28 08:04:03,2520
2021-01-28 08:03:53,2640
2021-01-28 08:00:04,2640
2021-01-28 07:59:53,2580
2021-01-28 07:58:10,2580
2021-01-28 07:57:59,2640
2021-01-28 07:54:10,2640
2021-01-28 07:54:00,2580
2021-01-28 07:52:05,2580
2021-01-28 07:51:55,2700
2021-01-28 07:47:04,2700
2021-01-28 07:42:03,2700
2021-01-28 07:41:52,2760
2021-01-28 07:39:06,2760
2021-01-28 07:34:05,2760
2021-01-28 07:33:55,2820
2021-01-28 07:32:10,2820
2021-01-28 07:32:00,2760
2021-01-28 07:29:03,2760
2021-01-28 07:24:02,2760
2021-01-28 07:23:52,2820
2021-01-28 07:22:08,2820
2021-01-28 07:21:57,2760
2021-01-28 07:20:03,2760
2021-01-28 07:19:52,2820
2021-01-28 07:19:11,2820
2021-01-28 07:14:09,2820
2021-01-28 07:13:59,2880
2021-01-28 07:10:10,2880
2021-01-28 07:10:00,2820
2021-01-28 07:06:01,2820
2021-01-28 07:05:50,2880
2021-01-28 07:04:07,2880
2021-01-28 07:03:56,2820
2021-01-28 07:00:07,2820
2021-01-28 06:59:57,2880
2021-01-28 06:55:06,2880
2021-01-28 06:50:04,2880
2021-01-28 06:49:54,2820
2021-01-28 06:48:10,2820
2021-01-28 06:47:59,2880
2021-01-28 06:44:11,2880
2021-01-28 06:44:00,2820
2021-01-28 06:42:06,2820
2021-01-28 06:41:55,2880
2021-01-28 06:40:01,2880
2021-01-28 06:39:51,2940
2021-01-28 06:39:09,2940
2021-01-28 06:34:08,2940
2021-01-28 06:33:57,3000
2021-01-28 06:33:05,3000
2021-01-28 06:28:04,3000
2021-01-28 06:27:53,3060
2021-01-28 06:23:02,3060
2021-01-28 06:18:01,3060
2021-01-28 06:17:50,3000
2021-01-28 06:16:06,3000
2021-01-28 06:15:56,3060
2021-01-28 06:15:04,3060
2021-01-28 06:10:02,3060
2021-01-28 06:09:52,3000
2021-01-28 06:06:03,3000
2021-01-28 06:05:53,2880
2021-01-28 06:04:09,2880
2021-01-28 06:03:58,2940
2021-01-28 06:02:04,2940
2021-01-28 06:01:54,2880
2021-01-28 06:01:12,2880
2021-01-28 05:56:11,2880
2021-01-28 05:56:00,2940
2021-01-28 05:52:01,2940
2021-01-28 05:51:51,3000
2021-01-28 05:50:07,3000
2021-01-28 05:49:57,3060
2021-01-28 05:49:05,3060
2021-01-28 05:44:03,3060
2021-01-28 05:43:53,3000
2021-01-28 05:39:12,3000
2021-01-28 05:34:11,3000
2021-01-28 05:34:00,3060
2021-01-28 05:32:06,3060
2021-01-28 05:31:55,3000
2021-01-28 05:30:11,3000
2021-01-28 05:25:10,3000
2021-01-28 05:20:08,3000
2021-01-28 05:19:58,2940
2021-01-28 05:18:04,2940
2021-01-28 05:17:54,2880
2021-01-28 05:16:10,2880
2021-01-28 05:15:59,2760
2021-01-28 05:14:05,2760
2021-01-28 05:13:54,2580
2021-01-28 05:12:10,2580
2021-01-28 05:12:00,2400
2021-01-28 05:10:06,2400
2021-01-28 05:09:55,2280
2021-01-28 05:08:01,2280
2021-01-28 05:07:51,2160
2021-01-28 05:06:07,2160
2021-01-28 05:05:56,1980
2021-01-28 05:04:02,1980
2021-01-28 05:03:52,1860
2021-01-28 05:02:08,1860
2021-01-28 05:01:57,1800
2021-01-28 05:00:03,1800
2021-01-28 04:59:53,1680
2021-01-28 04:58:09,1680
2021-01-28 04:57:58,1560
2021-01-28 04:56:04,1560
2021-01-28 04:55:53,1620
2021-01-28 04:54:09,1620
2021-01-28 04:53:59,1500
2021-01-28 04:53:07,1500
2021-01-28 04:48:06,1500
2021-01-28 04:47:55,1560
2021-01-28 04:43:04,1560
2021-01-28 04:38:02,1560
2021-01-28 04:37:52,1440
2021-01-28 04:36:08,1440
2021-01-28 04:35:57,1380
2021-01-28 04:32:09,1380
2021-01-28 04:31:58,1320
2021-01-28 04:29:12,1320
2021-01-28 04:24:11,1320
2021-01-28 04:24:00,1260
2021-01-28 04:21:04,1260
2021-01-28 04:16:02,1260
2021-01-28 04:15:52,1200
2021-01-28 04:12:03,1200
2021-01-28 04:11:53,1140
2021-01-28 04:10:08,1140
2021-01-28 04:09:58,1080
2021-01-28 04:08:04,1080
2021-01-28 04:07:54,1020
2021-01-28 04:04:05,1020
2021-01-28 04:03:55,1080
2021-01-28 04:03:13,1080
2021-01-28 03:58:11,1080
2021-01-28 03:58:01,1140
2021-01-28 03:56:06,1140
2021-01-28 03:55:56,1080
2021-01-28 03:53:10,1080
2021-01-28 03:48:08,1080
2021-01-28 03:47:58,1020
2021-01-28 03:46:03,1020
2021-01-28 03:45:53,1080
2021-01-28 03:44:09,1080
2021-01-28 03:43:59,1020
2021-01-28 03:40:10,1020
2021-01-28 03:39:59,960
2021-01-28 03:38:05,960
2021-01-28 03:37:55,1020
2021-01-28 03:36:11,1020
2021-01-28 03:36:00,960
2021-01-28 03:35:09,960
2021-01-28 03:30:07,960
2021-01-28 03:29:56,1080
2021-01-28 03:28:02,1080
2021-01-28 03:27:52,1020
2021-01-28 03:25:05,1020
2021-01-28 03:20:04,1020
2021-01-28 03:19:53,960
2021-01-28 03:15:12,960
2021-01-28 03:10:11,960
2021-01-28 03:10:00,900
2021-01-28 03:08:06,900
2021-01-28 03:07:55,960
2021-01-28 03:04:07,960
2021-01-28 03:03:56,1020
2021-01-28 03:02:02,1020
2021-01-28 03:01:51,1080
2021-01-28 03:00:07,1080
2021-01-28 02:59:57,1140
2021-01-28 02:58:02,1140
2021-01-28 02:57:52,1020
2021-01-28 02:54:03,1020
2021-01-28 02:53:53,960
2021-01-28 02:52:09,960
2021-01-28 02:51:58,900
2021-01-28 02:50:04,900
2021-01-28 02:49:54,840
2021-01-28 02:48:10,840
2021-01-28 02:47:59,960
2021-01-28 02:45:13,960
2021-01-28 02:40:11,960
2021-01-28 02:40:01,900
2021-01-28 02:38:07,900
2021-01-28 02:37:56,840
2021-01-28 02:35:10,840
2021-01-28 02:30:09,840
2021-01-28 02:29:58,900
2021-01-28 02:28:04,900
2021-01-28 02:27:54,960
2021-01-28 02:24:05,960
2021-01-28 02:23:54,900
2021-01-28 02:23:13,900
2021-01-28 02:18:11,900
2021-01-28 02:18:01,840
2021-01-28 02:14:02,840
2021-01-28 02:13:51,900
2021-01-28 02:10:13,900
2021-01-28 02:05:11,900
2021-01-28 02:00:09,900
2021-01-28 01:59:59,840
2021-01-28 01:57:13,840
2021-01-28 01:52:11,840
2021-01-28 01:52:01,780
2021-01-28 01:47:09,780
2021-01-28 01:42:07,780
2021-01-28 01:41:57,840
2021-01-28 01:40:02,840
2021-01-28 01:39:52,900
2021-01-28 01:38:08,900
2021-01-28 01:37:58,960
2021-01-28 01:34:09,960
2021-01-28 01:33:59,900
2021-01-28 01:30:10,900
2021-01-28 01:29:59,960
2021-01-28 01:28:05,960
2021-01-28 01:27:55,900
2021-01-28 01:24:06,900
2021-01-28 01:23:56,960
2021-01-28 01:22:01,960
2021-01-28 01:21:51,900
2021-01-28 01:20:07,900
2021-01-28 01:19:56,840
2021-01-28 01:16:08,840
2021-01-28 01:15:57,780
2021-01-28 01:12:08,780
2021-01-28 01:11:58,900
2021-01-28 01:10:03,900
2021-01-28 01:09:53,840
2021-01-28 01:07:04,840
2021-01-28 01:02:02,840
2021-01-28 01:01:52,780
2021-01-28 01:01:10,780
2021-01-28 00:56:08,780
2021-01-28 00:55:58,840
2021-01-28 00:54:04,840
2021-01-28 00:53:53,780
2021-01-28 00:49:12,780
2021-01-28 00:44:11,780
2021-01-28 00:44:00,840
2021-01-28 00:41:04,840
